Theta,Phi,Gain_RHCP,Gain_RHCP_Phase,Gain_LHCP,Gain_LHCP_Phase
23,117,0.03365486,-152.3231943,-9.564118132,2.217877638
24,117,-0.029456682,-152.3672037,-9.393830726,0.990631727
25,117,-0.096076129,-152.4347017,-9.245154048,-0.311219078
26,117,-0.165425085,-152.5257747,-9.120594835,-1.692719543
27,117,-0.236784491,-152.6385649,-9.022065106,-3.154987437
28,117,-0.30952769,-152.7692594,-8.950930825,-4.69501572
29,117,-0.383149106,-152.9122089,-8.908081338,-6.305514619
30,117,-0.457286126,-153.0601732,-8.894014079,-7.974787992
31,117,-0.531731822,-153.204685,-8.908928277,-9.68665107
32,117,-0.606436656,-153.3365087,-8.95282019,-11.42040407
33,117,-0.681498257,-153.4461645,-9.025570755,-13.15087723
34,117,-0.757139594,-153.5244828,-9.127014884,-14.84855787
35,117,-0.833677256,-153.5631511,-9.256980148,-16.47980155
36,117,-0.911482751,-153.5552169,-9.415281787,-18.00712076
37,117,-0.990940617,-153.4955189,-9.60166089,-19.38954247
38,117,-1.072407449,-153.3810199,-9.81565352,-20.58303705
39,117,-1.156175717,-153.2110273,-10.05638053,-21.54105356
40,117,-1.242445483,-152.9872897,-10.32225158,-22.21525654
41,117,-1.331306002,-152.7139667,-10.61058407,-22.55665007
42,117,-1.422727914,-152.3974712,-10.91715192,-22.51739022
43,117,-1.516565456,-152.0461898,-11.23570579,-22.0536992
44,117,-1.612567156,-151.6700884,-11.55755126,-21.13033907
45,117,-1.710392794,-151.2802189,-11.87133588,-19.72695171
46,117,-1.809634281,-150.8881449,-12.16326344,-17.84604819
47,117,-1.909838368,-150.5053127,-12.41797736,-15.5214018
48,117,-2.010529766,-150.1423997,-12.62025336,-12.82423503
49,117,-2.111234052,-149.8086782,-12.75735344,-9.863648049
50,117,-2.21150052,-149.5114336,-12.82147728,-6.778439844
51,117,-2.310925577,-149.2554802,-12.81145913,-3.720485088
52,117,-2.409177304,-149.0428116,-12.73300269,-0.833918949
53,117,-2.506021238,-148.8724189,-12.59734768,1.763295992
54,117,-2.601346483,-148.7402971,-12.41893725,3.990183063
55,117,-2.695190111,-148.6396512,-12.21294921,5.804594466
56,117,-2.787756841,-148.5612914,-11.99336621,7.198284828
57,117,-2.879430528,-148.4941975,-11.77184745,8.188785229
58,117,-2.970774273,-148.4262118,-11.55732477,8.811053918
59,117,-3.062517083,-148.3448123,-11.35609358,9.110529905
60,117,-3.155526721,-148.2379099,-11.17216584,9.13805014
61,117,-3.250770355,-148.0946149,-11.00771384,8.946425682
62,117,-3.349266416,-147.9059236,-10.86350266,8.588230424
63,117,-3.452032281,-147.6652857,-10.73926063,8.114356569
64,117,-3.560032768,-147.369027,-10.63396975,7.572989758
65,117,-3.674133972,-147.0166103,-10.54607625,7.008772955
66,117,-3.795065755,-146.6107318,-10.47363103,6.462027547
67,117,-3.923394586,-146.1572515,-10.41437579,5.967974028
68,117,-4.059506706,-145.6649648,-10.36579335,5.55594591
69,117,-4.203600103,-145.1452228,-10.32514252,5.248625976
70,117,-4.3556828,-144.6114126,-10.28949764,5.061360724
71,117,-4.515574684,-144.0783092,-10.25580961,5.001631093
72,117,-4.682910595,-143.5613179,-10.22100002,5.06877538
73,117,-4.857143642,-143.0756283,-10.18209106,5.254068486
74,117,-5.037549454,-142.6353101,-10.13636343,5.541251542
75,117,-5.223234056,-142.2523858,-10.08152424,5.907569601
76,117,-5.413149768,-141.935928,-10.01585926,6.325310678
77,117,-5.606124412,-141.6912346,-9.938342135,6.763756464
78,117,-5.800908782,-141.5191477,-9.848678859,7.191374214
79,117,-5.996245269,-141.4155863,-9.747277402,7.578025665
80,117,-6.190956953,-141.3713652,-9.635147446,7.896961143
81,117,-6.384051658,-141.3723588,-9.513748575,8.12640802
82,117,-6.574830534,-141.4000505,-9.384813416,8.250638312
83,117,-6.762987108,-141.4324642,-9.250173341,8.260485793
84,117,-6.948681687,-141.4454313,-9.111609277,8.153355455
85,117,-7.132578568,-141.4140994,-8.970741416,7.932813622
86,117,-7.315839328,-141.3145505,-8.828962101,7.607864219
87,117,-7.50007335,-141.1253879,-8.687408202,7.192012488
88,117,-7.687254524,-140.8291569,-8.546964023,6.702202341
89,117,-7.87961869,-140.4135011,-8.408283565,6.157696245
90,117,-8.079558421,-139.8719972,-8.271821243,5.578952105
91,117,-8.289529936,-139.2046528,-8.137862342,4.986541645
92,117,-8.511982078,-138.4180882,-8.006547677,4.400148042
93,117,-8.749310707,-137.5254379,-7.877890312,3.837675452
94,117,-9.003834978,-136.5460214,-7.751785255,3.314497962
95,117,-9.277786046,-135.5048295,-7.628015193,2.842869778
96,117,-9.573294495,-134.4318698,-7.506256321,2.431512302
97,117,-9.892360592,-133.3614107,-7.386088272,2.085387539
98,117,-10.23679133,-132.3311499,-7.267010968,1.805661254
99,117,-10.60809005,-131.3813145,-7.148469513,1.58985338
100,117,-11.00728808,-130.5536701,-7.029886179,1.43216675
101,117,-11.43471334,-129.89036,-6.910696737,1.323977785
102,117,-11.88969972,-129.432432,-6.7903871,1.254464212
103,117,-12.37025456,-129.2178312,-6.668525797,1.211335717
104,117,-12.87272371,-129.2785758,-6.544788316,1.181625068
105,117,-13.39152555,-129.6368396,-6.418970618,1.152491249
106,117,-13.91906626,-130.2998144,-6.290990942,1.111984185
107,117,-14.44598429,-131.2536217,-6.160880918,1.049723474
108,117,-14.96187269,-132.4572189,-6.028768584,0.957450997
109,117,-15.45654923,-133.8380619,-5.894856831,0.829428305
110,117,-15.92175979,-135.2917736,-5.759400952,0.6626625
111,117,-16.35295142,-136.687583,-5.622688379,0.456957276
